Key,Text,Max length
Tests.WebConnectivity.Name,Web Connectivity,
Tests.Telegram.Name,Telegram,
Tests.Facebook.Name,Facebook Messenger,
Tests.WhatsApp.Name,WhatsApp,
Tests.HTTPInvalidReqLine.Name,HTTP Invalid Request Line,
Tests.HTTPHeaderManipulation.Name,HTTP Header Field Manipulation,
Tests.NDT.Name,NDT Speed Test,
Tests.Dash.Name,Dash video streaming,
Tests.TorVanilla.Name,Tor (Vanilla),
Tests.BridgeReachability.Name,Tor Bridge Reachability,
Tests.TCPConnect.Name,TCP Connect,
Tests.DNSConsistency.Name,DNS Consistency,
Tests.HTTPRequests.Name,HTTP Requests,
Tests.Groups.Webistes.Name,Websites,
Tests.Groups.Instant Messagging.Name,Instant Messagging,
Tests.Groups.Middlebox.Name,Middlebox,
Tests.Groups.Performance.Name,Performance,
Tests.Groups.Circumvention.Name,Circumvention,
Tests.Groups.Legacy.Name,Legacy,
Measurement.Status.Header.Websites.Anomaly,Anomaly,
Measurement.Status.Header.Websites.Reachable,Reachable,
Measurement.Status.Header.Websites.Error,Error,
Measurement.Status.Header.Websites.Confirmed,Blocking Confirmed,
Measurement.Status.Hint.Websites.NoCensorship,No Censorship Detected,
Measurement.Status.Hint.Websites.Error,Error In Measurement,
Measurement.Status.Hint.Websites.Unavailable,Site Unavailable,
Measurement.Status.Hint.Websites.Censorship,Evidence of Possible Censorship,
Measurement.Status.Hint.Websites.DNS,DNS Based Blocking,
Measurement.Status.Hint.Websites.HTTPdiff,Different HTTP Response,
Measurement.Status.Hint.Websites.HTTPfail,HTTP Request Failed,
Measurement.Status.Hint.Websites.TCPBlock,TCP/IP Based Blocking,
Measurement.CommonSummary.Label.ASN,ASN,
Measurement.CommonSummary.Label.Network,Network Name,
Measurement.CommonSummary.Label.Country,Country,
Measurement.CommonSummary.Label.DateTime,Date and Time,
Measurement.DetailsHeader.Runtime,Runtime,
Measurement.Details.Websites.Failures.Heading,Failures,
Measurement.Details.Websites.Failures.Labels.HTTP,HTTP Experiment,
Measurement.Details.Websites.Failures.Labels.DNS,DNS Experiment,
Measurement.Details.Websites.Failures.Labels.Control,Control,
Measurement.Details.Websites.Failures.Values.Null,null,
Measurement.Details.Websites.DNSQueries.Heading,DNS Queries,
Measurement.Details.Websites.DNSQueries.Labels.Resolver,Resolver,
Measurement.Details.Websites.TCP.Heading,TCP Connections,
Measurement.Details.Websites.TCP.NoData,No Results,
Measurement.Details.Websites.TCP.ConnectionTo,"Connection to {destination} was {status, select, successful {succcessful} failed {failed} blocked {blocked}}.",
Measurement.Details.Websites.HTTP.Heading,HTTP Requests,
Measurement.Details.Websites.HTTP.Labels.Response,Response,
Measurement.CommonDetails.OtherDetails.Heading,Other Details,
Measurement.CommonDetails.Labels.MsmtID,Measurement ID',
Measurement.CommonDetails.Labels.Platform,Platform',
Measurement.CommonDetails.Labels.SoftwareVersion,Software Version',
Measurement.CommonDetails.Labels.MKVersion,Measurement Kit Version',
Measurement.CommonDetails.RawMeasurement.Heading,Raw Measurement Data,
Measurement.CommonDetails.RawMeasurement.Download,Download JSON,
Measurement.Status.Header.NDT.Title,Results,
Measurement.Status.Info.Labels.Download,Download,
Measurement.Status.Info.Labels.Upload,Upload,
Measurement.Status.Info.Labels.Ping,Ping,
Measurement.Details.Performance.Heading,Performance Details,
Measurement.Details.Performance.Labels.AvgPing,Average Ping,
Measurement.Details.Performance.Labels.MaxPing,Max Ping,
Measurement.Details.Performance.Labels.MSS,MSS,
Measurement.Details.Performance.Labels.PktLoss,Packet Loss,
Measurement.Details.Performance.Labels.OutOfOrder,Out of Order,
Measurement.Details.Performance.Labels.Timeouts,Timeouts,
Measurement.Status.Header.Dash.Title,Results,
Measurement.Status.Info.Labels.VideoQuality,Video Quality,
Measurement.Status.Info.Labels.Bitrate,Median Bitrate,
Measurement.Status.Info.Labels.Delay,Playout Delay,
Measurement.Status.Hint.Telegram.Blocked,Telegram is not working,
Measurement.Status.Hint.Telegram.Reachable,Telegram is working,
Measurement.Details.Telegram.Endpoint.Label.Desktop,Desktop App,
Measurement.Details.Telegram.Endpoint.Label.Web,Web App,
Measurement.Details.Endpoint.Status.Okay,Okay,
Measurement.Details.Endpoint.Status.Failed,Failed,
Measurement.Details.Telegram.Endpoint.Status.Heading,End Point Status,
Measurement.Details.Telegram.Endpoint.ConnectionTo.Failed,Connection to {destination} failed,
Measurement.Details.Telegram.Endpoint.ConnectionTo.Successful,Connection to {destination} was successful,
Measurement.Details.Hint.WhatsApp.Reachable,WhatsApp is reachable,
Measurement.Status.Hint.WhatsApp.Blocked,WhatsApp presented signs of possible censorship,
Measurement.Status.Hint.WhatsApp.Failed,WhatsApp is not working,
Measurement.Details.WhatsApp.Endpoint.Label.Mobile,Mobile App,
Measurement.Details.WhatsApp.Endpoint.Label.Web,Web App,
Measurement.Details.WhatsApp.Endpoint.Label.Registration,Regisration,
